Protein name	UniProt ID	Location class	Disease relationship	Existing drugs / clinical agents	Antibody MoA	Safety concerns	Differentiation hypothesis	Recommendation
IL-15	P40933	Secreted cytokine	Refractory celiac disease and tissue-resident cytotoxic lymphocyte activation; possible myositis/alopecia-like biology.	Anti-IL15/IL15R programs historically mixed; no broad approved autoimmune mAb.	Neutralize IL-15 or block IL-15 trans-presentation.	NK/CD8 suppression, infection, malignancy surveillance concerns.	Refractory celiac with IL-15/IEL biomarker is a focused niche.	Medium
IL-15 receptor alpha / IL15RA	Q13261	Membrane/soluble receptor	Controls IL-15 trans-presentation in mucosal and tissue immune activation.	Clinical agents exist historically; current status unclear.	Block IL-15 trans-presentation; possible bispecific local design.	Similar to IL-15 blockade; tissue distribution complexity.	May be more selective than pan-IL-15 neutralization if epitope blocks trans-presentation.	Medium
IFNAR1	P17181	Membrane receptor	Type I IFN-high SLE, dermatomyositis, Sjögren subsets.	Anifrolumab approved for SLE; renal/myositis/Sjögren use not fully settled.	Block type I IFN receptor signaling.	Viral infection, herpes zoster, vaccination effects.	Target validated but crowded; new seed only with tissue-selective, biomarker-specific or combination rationale.	Low-Medium
IL-6 receptor / IL6R	P08887	Membrane/soluble receptor	SSc-ILD, GCA, RA, inflammatory myositis subsets.	Tocilizumab/sarilumab approved in immune diseases; tocilizumab used in SSc-ILD contexts.	Block IL-6 signaling.	Infection, neutropenia, liver enzymes, GI perforation.	Validated but crowded; limited novelty unless new format/disease segment.	Low
CD38	P28907	Membrane ectoenzyme/plasma-cell marker	Autoantibody diseases with plasma-cell persistence: SLE, refractory pemphigus, IgG4-RD, myositis.	Daratumumab/isatuximab oncology; autoimmune case series/trials limited.	Plasma-cell depletion via Fc effector; possible Fc-tuned antibody.	Infection, hypogammaglobulinemia, cytopenias, infusion reactions.	Can address CD20/CD19-resistant plasma-cell disease, but safety may be too oncology-like.	Medium
APRIL / TNFSF13	O75888	Secreted TNF-family ligand	Plasma-cell and IgA/autoantibody support in SLE/LN, Sjögren, IgA kidney disease.	Atacicept/telitacicept dual BAFF/APRIL; APRIL agents in renal pipelines.	Neutralize APRIL, or dual BAFF/APRIL blockade.	Hypogammaglobulinemia, infection, broad humoral suppression.	APRIL-selective design may spare BAFF biology while targeting plasma-cell niches.	Medium
BAFF / BLyS / TNFSF13B	P23560	Secreted and membrane-associated ligand	SLE/LN and Sjögren B-cell survival.	Belimumab approved SLE/LN; telitacicept/blisibimod class examples.	Neutralize BAFF.	Infection, mood warnings in label context, slow onset.	Useful benchmark but weak novelty unless paired with biomarker or dual design.	Low-Medium
TACI / TNFRSF13B	O14836	Membrane receptor on B cells/plasma cells	BAFF/APRIL receptor; altered B-cell differentiation and antibody production.	Atacicept is TACI-Fc ligand trap; receptor-targeting mAbs less established.	Block or modulate BAFF/APRIL receptor signaling.	Immunodeficiency risk; receptor biology complex, genetic CVID association.	Direct receptor modulation could differ from ligand traps but biology risk high.	Low-Medium
BCMA / TNFRSF17	Q02223	Membrane plasma-cell receptor	Long-lived plasma-cell survival; pathogenic autoantibody persistence.	BCMA CAR-T/TCE/ADC oncology; autoimmune cell therapy interest, antibody-only less clear.	Deplete plasma cells; ADC/TCE concept generally high risk in autoimmunity.	Profound hypogammaglobulinemia, CRS/ICANS for TCE, oncology-like toxicity.	Powerful reset concept, but conventional antibody seed should be cautious.	Low-Medium
Complement C5	P01031	Secreted complement component	AAV, myasthenia, dermatomyositis/complement injury, blistering disease.	Eculizumab/ravulizumab approved in complement-mediated diseases; zilucoplan peptide in gMG.	Block C5 cleavage or C5a generation.	Meningococcal/encapsulated infection, vaccination burden, cost.	Validated but crowded; disease entry must justify antibody over existing complement agents.	Low-Medium
